Width,Depth,Coefficient,KW Velocity (km/a)
5000,0,30000,6.94809283914573
5000,400,30000,4.05357628501201
5000,0,60000,4.42632498543652
5000,400,60000,2.82876480541249
5000,0,120000,2.83933642879477
5000,400,120000,1.85299447704388
8000,0,30000,7.70754716980573
8000,400,30000,1.71144644828733
8000,0,60000,4.95043652236817
8000,400,60000,2.51533018867742
8000,0,120000,3.0115319865298
8000,400,120000,1.84324659231589
11000,0,30000,8.39820556801077
11000,400,30000,4.93702770780504
11000,0,60000,4.90998838559457
11000,400,60000,3.46307829181245
11000,0,120000,3.13657175169872
11000,400,120000,1.97107203630033
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
