Width (effective width),GL Depth (effective depth),Floating termini length,Velocity,Ice Thickness,Basal drag
5000 (3500),-100 (-142.9861),0,"2585.3 ,3469.5 ,4897.6","110.7 ,302.8 ,389.1","15730.6 ,27197.8 ,57185.8"
5000 (3500),-500 (-474.00831),4717,"1530.2 ,2168 ,2332.8","342 ,544.6 ,572.4","7508.1 ,17508 ,41638.4"
5000 (3500),-100 (-142.70839),0,"1163.5 ,1683.6 ,2702.1","117.4 ,340.2 ,451.2","34501.4 ,49470.6 ,83695.7"
5000 (3500),-500 (-487.16433),3985,"813.8 ,1086.6 ,1245.8","327 ,554.9 ,599.2","15924.8 ,33051.4 ,63246.8"
5000 (3500),-100 (-139.7677),0,"570.7 ,865.5 ,1618.6","125.5 ,401.7 ,544","82099.5 ,94224.5 ,127153.4"
5000 (3500),-500 (-488.36355),4159,"525.7 ,652.9 ,806.4","301.6 ,554.5 ,632.7","40992.3 ,73540.3 ,101137.1"
8000 (5600),-100 (-157.48396),0,"2448.5 ,3305.6 ,4162.4","131.2 ,279 ,330.8","13298.9 ,22772.1 ,30393.7"
8000 (5600),-500 (-458.00337),8446,"1477.7 ,2184.3 ,2357.4","294.5 ,503.3 ,519.2","7536.7 ,15340.1 ,24672"
8000 (5600),-100 (-158.68488),0,"1050.4 ,1418 ,1963.2","132.6 ,302.8 ,374","25052.6 ,38481.9 ,45397.2"
8000 (5600),-500 (-464.3286),7878,"673.6 ,942.3 ,1095.9","271.6 ,496.1 ,528.4","13996.1 ,26119.5 ,38029.1"
8000 (5600),-100 (-156.38234),0,"481 ,688.8 ,1098.4","137.6 ,355.6 ,457.8","51071.5 ,73349.5 ,85092.4"
8000 (5600),-500 (-467.3307),7749,"399.2 ,520.8 ,649.9","241.5 ,476.3 ,541.8","33181.5 ,56673.3 ,70936.4"
11000 (7700),-100 (-162.69123),0,"2102.1 ,3131 ,3764.7","134 ,264.6 ,305.7","10380.1 ,21246.3 ,25690"
11000 (7700),-500 (-425.54914),11543,"1352.3 ,2179.7 ,2349","253.1 ,460.6 ,479.7","6677.5 ,14997.2 ,20602.1"
11000 (7700),-100 (-164.31977),0,"872.5 ,1227.9 ,1587.9","132.5 ,280.9 ,337.3","17150.9 ,33085.1 ,38672.7"
11000 (7700),-500 (-426.87863),11421,"568.4 ,866.9 ,1003.7","224.3 ,436.6 ,478.8","11174.3 ,23666.9 ,30794.6"
11000 (7700),-100 (-162.44761),0,"415.9 ,575 ,844.2","134.9 ,326.4 ,411.5","36285.7 ,61290.1 ,67810"
11000 (7700),-500 (-428.99047),11256,"332.1 ,484.6 ,586.7","193.7 ,398.1 ,470.7","25949.1 ,52472.5 ,64558.9"
