geometry,runtime(min),step,finished time
,0,0,NaT
,0,0,NaT
domain_W11000_GL0_FC30000,78.77154565,3,03-Nov-2022 22:54:49
domain_W5000_GL400_FC30000,135.720036783333,3,03-Nov-2022 23:51:46
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
domain_W11000_GL0_FC60000,230.155877583333,3,04-Nov-2022 01:26:12
domain_W5000_GL400_FC60000,283.802935466667,3,04-Nov-2022 02:19:51
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
domain_W11000_GL0_FC120000,386.302622966667,3,04-Nov-2022 04:02:21
domain_W5000_GL400_FC120000,410.58589945,3,04-Nov-2022 04:26:38
,0,0,NaT
,0,0,NaT
